"","Kommune","locality","site","utm_sone","date","month","year","utm_N","utm_E","stage","obs"
"76","Melhus","Storrønningen","Stor","32V",2020-09-28,"september",2020,7011836,563778,"juvenile",0
"77","Melhus","Storrønningen","Stor","32V",2020-09-28,"september",2020,7011836,563777,"adult",1
"78","Melhus","Storrønningen","Stor","32V",2020-09-28,"september",2020,7011836,563777,"juvenile",3
"79","Melhus","Storrønningen","Stor","32V",2020-09-28,"september",2020,7011837,563771,"adult",0
"80","Melhus","Storrønningen","Stor","32V",2020-09-28,"september",2020,7011837,563771,"juvenile",1
"81","Melhus","Kregnesteigen","Kreg","32V",2021-06-17,"juni",2021,7013659,563053,"adult",1
"82","Melhus","Kregnesteigen","Kreg","32V",2021-06-17,"juni",2021,7013659,563053,"juvenile",0
"83","Melhus","Kregnesteigen","Kreg","32V",2021-06-17,"juni",2021,7013648,563024,"adult",1
"84","Melhus","Kregnesteigen","Kreg","32V",2021-06-17,"juni",2021,7013648,563024,"juvenile",0
"85","Melhus","Kregnesteigen","Kreg","32V",2021-06-17,"juni",2021,7013653,563016,"adult",1
"86","Melhus","Kregnesteigen","Kreg","32V",2021-06-17,"juni",2021,7013653,563016,"juvenile",0
"87","Melhus","Storrønningen","Stor","32V",2021-08-10,"august",2021,7011894,563425,"adult",1
"88","Melhus","Storrønningen","Stor","32V",2021-08-10,"august",2021,7011894,563425,"juvenile",0
"89","Melhus","Storrønningen","Stor","32V",2021-08-10,"august",2021,7011945,563431,"adult",1
"90","Melhus","Storrønningen","Stor","32V",2021-08-10,"august",2021,7011945,563431,"juvenile",0
"91","Melhus","Storrønningen","Stor","32V",2021-08-10,"august",2021,7011918,563356,"adult",1
"92","Melhus","Storrønningen","Stor","32V",2021-08-10,"august",2021,7011918,563356,"juvenile",0
"93","Melhus","Kregnesteigen","Kreg","32V",2021-08-09,"august",2021,7013648,563031,"adult",1
"94","Melhus","Kregnesteigen","Kreg","32V",2021-08-09,"august",2021,7013648,563031,"juvenile",0
"95","Melhus","Kregnesteigen","Kreg","32V",2021-08-09,"august",2021,7013673,563085,"adult",1
"96","Melhus","Kregnesteigen","Kreg","32V",2021-08-09,"august",2021,7013673,563085,"juvenile",0
"97","Melhus","Storrønningen","Stor","32V",2021-09-27,"september",2021,7011835,563830,"adult",1
"98","Melhus","Storrønningen","Stor","32V",2021-09-27,"september",2021,7011835,563830,"juvenile",0
"99","Melhus","Storrønningen","Stor","32V",2021-09-27,"september",2021,7011834,563831,"adult",2
"100","Melhus","Storrønningen","Stor","32V",2021-09-27,"september",2021,7011834,563831,"juvenile",0
"101","Melhus","Storrønningen","Stor","32V",2021-09-27,"september",2021,7011835,563828,"adult",1
"102","Melhus","Storrønningen","Stor","32V",2021-09-27,"september",2021,7011835,563828,"juvenile",0
"103","Melhus","Storrønningen","Stor","32V",2021-09-27,"september",2021,7011831,563802,"adult",2
"104","Melhus","Storrønningen","Stor","32V",2021-09-27,"september",2021,7011831,563802,"juvenile",0
"105","Melhus","Storrønningen","Stor","32V",2021-09-27,"september",2021,7011829,563800,"adult",1
"106","Melhus","Storrønningen","Stor","32V",2021-09-27,"september",2021,7011829,563800,"juvenile",0
"107","Melhus","Storrønningen","Stor","32V",2021-09-27,"september",2021,7011843,563774,"adult",1
"108","Melhus","Storrønningen","Stor","32V",2021-09-27,"september",2021,7011843,563774,"juvenile",0
"109","Melhus","Storrønningen","Stor","32V",2021-09-27,"september",2021,7011844,563771,"adult",3
"110","Melhus","Storrønningen","Stor","32V",2021-09-27,"september",2021,7011844,563771,"juvenile",0
"111","Melhus","Storrønningen","Stor","32V",2021-09-27,"september",2021,7011845,563765,"adult",5
"112","Melhus","Storrønningen","Stor","32V",2021-09-27,"september",2021,7011845,563765,"juvenile",0
"113","Melhus","Storrønningen","Stor","32V",2021-09-27,"september",2021,7011852,563750,"adult",2
"114","Melhus","Storrønningen","Stor","32V",2021-09-27,"september",2021,7011852,563750,"juvenile",0
"115","Melhus","Storrønningen","Stor","32V",2021-09-27,"september",2021,7011853,563747,"adult",2
"116","Melhus","Storrønningen","Stor","32V",2021-09-27,"september",2021,7011853,563747,"juvenile",0
"117","Melhus","Storrønningen","Stor","32V",2021-09-27,"september",2021,7011852,563748,"adult",3
"118","Melhus","Storrønningen","Stor","32V",2021-09-27,"september",2021,7011852,563748,"juvenile",0
