Lokalitet,Dato_20,Antall_20,Luket_20,Dato_21,Luket_21,Field,GlobalID,Antall_21,Dato_22,Luket_22,Antall_22,Dato_23,Luket_23,Antall_23,Luket_24,Antall_24,Dato_24,Shape_Leng,Shape_Area,site,siteID,S1_20,S2_20,S3_20,A_20,S1_21,S2_21,S3_21,A_21,S1_22,S2_22,S3_22,A_22,S1_23,S2_23,S3_23,A_23,S1_24,S2_24,S3_24,A_24,area_m2
Storrønningen 28,2020/09/03,200,ja,"02.07",ja,28,69452161-2344-4bfc-b06f-9eb8ffa17187,80,2022/06/30,Nei,0,2023/07/14,Ja,70,Nei,0,2024/06/17,49.8071691854,131.95811355,Storronningen,"57",1,1,1,0,0,0,264,0,0,0,264,0,0,528,660,0,264,0,0,0,131.958113549394
Storrønningen 27,2020/08/27,6500,ja,"22.06",ja,27,884cf4e2-5e34-40fe-a7fe-48a3b266504a,4000,2022/06/20,Delvis,6,2023/07/11,Ja,670,Delvis,1,2024/06/17,131.638490237,469.379975437,Storronningen,"56",1,1,9,0,469,8449,4224,0,1408,2347,9388,0,0,0,939,0,939,469,0,0,469.379975435557
Storrønningen 26,2020/08/26,300,ja,"06.07",ja,26,0f7d55b9-b01c-49da-9878-ce8f033dee6a,5,2022/06/20,Nei,0,2023/07/06,Ja,14,Delvis,1,2024/07/02,86.3118380288,242.328001531,Storronningen,"55",0,0,1,0,0,0,242,0,0,0,0,0,0,0,0,0,0,0,0,0,242.328001529313
Storrønningen 25,2020/08/26,500,ja,"06.07",ja,25,e1b103b6-7198-49b0-9ae6-e6280102ce06,20,2022/06/20,Nei,0,2023/07/06,Ja,26,Nei,0,2024/07/02,76.4790982163,319.548779986,Storronningen,"54",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,319.548779984179
Storrønningen 24,2020/08/26,100,ja,"06.07",ja,24,ea7da951-5660-45d0-b947-f8162c6214a9,1,2022/06/20,Nei,0,2023/06/29,Ja,8,Nei,0,2024/07/02,49.8574849733,132.849403836,Storronningen,"53",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132.849403837463
Storrønningen 23,2020/08/25,500,ja,"06.07",ja,23,e490d00a-87aa-416c-b86f-05063f7706c8,50,2022/07/06,Delvis,5,2023/07/06,Ja,75,Delvis,1,2024/07/02,64.8229640409,267.404826748,Storronningen,"52",0,0,2,0,0,0,0,0,0,0,535,0,0,0,535,0,0,0,0,0,267.404826750048
Storrønningen 22,2020/08/25,1000,ja,"05.07",ja,22,9141ff9a-4cd2-4538-8fda-9e424d8f4ee0,140,2022/06/20,Delvis,11,2023/07/06,Ja,245,Delvis,6,2024/07/02,93.1444082752,515.375075331,Storronningen,"51",0,0,2,0,0,0,0,0,0,8246,515,0,0,515,5669,0,0,0,0,0,515.375075332006
Storrønningen 21,2020/08/19,300,ja,"05.07",ja,21,dfb4cc0b-d45e-4589-bcc6-3b5f81529eac,60,2022/07/06,Delvis,12,2023/07/06,Ja,250,Nei,0,2024/07/02,78.3441286691,405.009171579,Storronningen,"50",0,0,0,0,0,0,0,0,0,2025,0,0,0,810,405,0,0,0,0,0,405.009171578684
Storrønningen 20,2020/08/18,150,ja,"05.07",ja,20,3958ccd9-2157-4567-89a5-302e837f00bc,15,2022/06/20,Nei,0,2023/06/29,Ja,12,Nei,0,2024/07/02,21.6487875074,9.94130289054,Storronningen,"49",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.94130289048189
Storrønningen 19,2020/07/30,1000,ja,"05.07",ja,19,d5391512-3b61-4613-9ca4-0eeb791c8c7d,70,2022/07/13,Delvis,4,2023/07/05,Ja,110,Nei,0,2024/07/02,44.1243264846,79.3101718596,Storronningen,"47",0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,79.3101718584076
Storrønningen 18,2020/07/30,300,ja,"01.07",ja,18,c2d9684f-d829-4b60-974a-c57146e02dd1,600,2022/06/20,Nei,0,2023/07/13,Ja,550,Delvis,10,2024/07/24,110.00453406,718.495389397,Storronningen,"46",53,47,92,0,22992,45984,151603,0,14370,125018,84782,1437,12214,50295,62509,0,10059,2874,0,0,718.49538939679
Storrønningen 17,2020/07/28,5000,ja,"20.07",ja,17,e6ab5e93-858a-4d43-9f13-5277df770903,600,2022/06/20,Nei,0,2023/07/11,Ja,462,Delvis,2,2024/07/24,56.913339263,145.286733311,Storronningen,"45",1,0,2,0,0,581,581,0,436,726,726,0,145,1162,1162,0,145,145,0,0,145.28673331067
Storrønningen 16,2020/07/27,150,ja,"06.07",ja,16,4179e843-7c8c-4480-af30-b1ecb5690ca5,400,2022/07/06,Delvis,4,2023/07/07,Ja,400,Nei,0,2024/07/24,24.8002585644,22.2434808751,Storronningen,"44",0,0,0,0,0,0,0,0,22,111,0,0,0,22,44,0,22,0,0,0,22.2434808750404
Storrønningen 15,2020/07/28,200,ja,"01.07",ja,15,cf5702d1-2ffc-436d-9f2a-d0bdb12744bc,500,2022/07/06,Delvis,7,2023/07/13,Ja,400,Delvis,13,2024/07/24,33.9949888818,69.5193535049,Storronningen,"43",3,3,4,0,139,209,695,0,139,1599,417,0,139,348,556,0,209,70,0,0,69.519353504933
Storrønningen 14,2020/07/26,1100,ja,"06.07",ja,14,89c48f9a-b92a-4e67-9f7e-33097a615308,700,2022/07/06,Delvis,10,2023/07/07,Ja,230,Delvis,1,2024/07/24,26.8385082993,38.051330659,Storronningen,"42",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.0513306593057
Storrønningen 13,2020/07/26,1000,ja,"01.07",ja,13,7882ce8d-71d5-46db-9158-8d3c9938cbe4,220,2022/07/06,Delvis,21,2023/07/12,Ja,760,Nei,0,2024/07/24,103.827051725,592.0584918,Storronningen,"41",2,5,3,0,1184,1776,8881,0,11841,95913,7105,592,5329,15986,36708,0,13025,2368,0,0,592.058491801843
Storrønningen 12,2020/07/26,200,ja,"01.07",ja,12,4c0d1d06-31dc-4d42-a0cf-6195e0db08ba,40,2022/06/20,Delvis,16,2023/07/10,Ja,80,Nei,0,2024/06/17,65.0844342068,149.964594185,Storronningen,"40",0,0,1,0,0,750,300,0,0,0,300,0,0,0,0,0,0,0,0,0,149.964594184654
Storrønningen 11,2020/07/24,1000,ja,"21.06",ja,11,317c2b14-8dbf-4a24-be64-98cc9110bacd,140,2022/07/04,Ja,150,2023/07/10,Delvis,32,Ja,1900,2024/06/17,82.3110370189,403.001943856,Storronningen,"39",4,2,16,1,1612,32240,15314,0,3627,6045,24583,0,0,806,2015,0,2015,1209,0,0,403.001943857875
Storrønningen 10,2020/07/24,50,ja,"15.07",ja,10,f329e402-4bd0-4a3a-88d1-a39ea893e765,70,2022/06/20,Delvis,1,2023/07/10,Ja,42,Nei,0,2024/06/17,34.3058681707,22.639457514,Storronningen,"38",0,0,1,0,0,91,45,0,23,23,68,0,0,0,23,0,0,0,0,0,22.6394575145096
Storrønningen 9,2020/07/22,1300,ja,"09.08",ja,9,c951b83e-3f72-41d3-b037-8b3115af83a3,680,2022/06/16,Nei,0,2023/07/10,Ja,630,Nei,0,2024/07/24,50.4116948898,130.989244311,Storronningen,"97",1,1,1,0,0,262,655,0,524,2358,524,0,131,1048,1048,0,393,0,0,0,130.989244312048
Storrønningen 8,2020/07/22,800,ja,"09.07",ja,8,e9c37c69-a5b5-486b-9e46-586f94a0aac3,500,2022/06/20,Nei,0,2023/07/07,Ja,23,Delvis,1,2024/07/24,35.1519894166,80.6716702564,Storronningen,"96",0,0,0,0,0,0,0,0,81,0,81,0,0,81,81,0,81,81,0,0,80.6716702565318
Storrønningen 7,2020/07/15,15000,ja,"08.07",ja,7,7d4f7672-4deb-44af-9cd9-b908ad69cc78,10000,2022/06/20,Ja,620,2023/07/06,Delvis,142,Ja,450,2024/06/17,96.0617347324,447.345011307,Storronningen,"95",0,0,0,0,0,447,447,0,0,0,0,0,0,0,0,0,0,0,0,0,447.345011305646
Kregnesteigen 9,2020/10/12,2000,nei,,,9,d4c7a88d-037d-45a7-889a-d82d96abe9d9,0,,,0,2023/09/15,Ja,1028,Ja,1950,2024/07/04,285.890378165,1580.17467781,Kregnesteigen,"36",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1580.17467781506
Kregnesteigen 5,2020/10/13,1000,nei,"25.06",ja,5,3c4b5e7b-a5c9-4e5f-9401-2fab54691912,2700,2022/07/26,Ja,2100,2023/06/11,Delvis,55,Ja,3200,2024/06/24,196.24000933,1856.84347541,Kregnesteigen,"26",40,32,173,0,55705,499491,289668,1857,326804,102126,542198,3714,29709,176400,440072,3714,27853,12998,0,0,1856.84347541537
Kregnesteigen 4,2020/10/13,750,nei,,nei,4,f86dd012-be4d-43a4-a634-e9f3033a013c,0,,,0,2023/09/19,Ja,1300,Ja,2450,2024/07/04,357.358329217,4276.86077006,Kregnesteigen,"25",1,1,10,0,8554,34215,12831,0,0,0,12831,0,0,,,,0,0,0,0,4276.86077005882
Kregnesteigen 3,2020/10/13,2000,nei,,nei,3,d2993530-567a-41c1-b621-5dadaa8c0a75,0,,,0,2023/09/17,Ja,335,Ja,1400,2024/07/08,270.203736979,3507.28148551,Kregnesteigen,"24",0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,3507.28148551052
Kregnesteigen 6a,,0,,"25.06",ja,6,5912df74-56dd-47f8-b47c-f42d6f7175a0,400,2022/07/27,Ja,350,2023/06/15,Nei,0,Ja,20,2024/06/24,25.0956854692,41.9071803034,Kregnesteigen,"27",0,0,1,0,0,126,42,0,84,84,84,0,0,42,126,0,0,0,0,0,41.9071803035913
Kregnesteigen 8a,,0,,"30.06",ja,8,8fd377fe-7868-46a1-827d-1753722f2c9b,2300,2022/07/27,Ja,740,2023/06/12,Nei,0,Ja,1100,2024/06/21,114.556107949,293.896054442,Kregnesteigen,"33",1,0,2,0,0,588,588,0,0,0,294,0,0,294,0,0,0,0,0,0,293.896054440178
Storrønningen 6,2020/07/15,10,ja,"09.08",ja,6,c8bfaa05-4247-423a-99e3-2703fbd595c4,8,2022/06/20,Nei,0,2023/06/29,Ja,1,Nei,0,2024/06/17,27.9059149667,40.5697199614,Storronningen,"93",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.5697199613205
Storrønningen 5,2020/07/15,2,ja,"09.08",ja,5,b1bc021a-b0af-40ed-971e-22f0126c8c7e,28,2022/06/20,Nei,0,2023/06/29,Nei,0,Nei,0,2024/06/17,22.4497965921,24.525553075,Storronningen,"81",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.5255530748982
